respondent_id,Q1_age_group,Q2_gender,Q3_city_tier,Q4_occupation,Q5_monthly_income,Q6_act_gym,Q6_act_yoga,Q6_act_running,Q6_act_cycling,Q6_act_swimming,Q6_act_team_sports,Q6_act_outdoor,Q6_act_home_workout,Q6_act_none,Q7_workout_days_per_week,Q8_workout_location,Q9_goal_weight_loss,Q9_goal_muscle_building,Q9_goal_endurance,Q9_goal_flexibility,Q9_goal_mental_wellness,Q9_goal_recreational,Q9_goal_competitive,Q9_goal_general_health,Q10_influencer_affinity,Q11_current_monthly_spend_inr,Q12_shop_brand_app,Q12_shop_myntra_ajio,Q12_shop_amazon_flipkart,Q12_shop_brand_website,Q12_shop_physical_store,Q12_shop_social_commerce,Q12_shop_local_unbranded,Q13_factor_price,Q13_factor_brand_rep,Q13_factor_fabric_quality,Q13_factor_style,Q13_factor_sustainability,Q13_factor_influencer,Q13_factor_peer_rec,Q13_factor_loyalty_rewards,Q13_factor_size_avail,Q14_purchase_frequency,Q15_brand_nike,Q15_brand_adidas,Q15_brand_puma,Q15_brand_decathlon,Q15_brand_hrx_reebok,Q15_brand_indian_d2c,Q15_brand_unbranded,Q15_brand_none,Q16_feat_personalised_rec,Q16_feat_browse_purchase,Q16_feat_loyalty_rewards,Q16_feat_sustainability_info,Q16_feat_outfit_builder,Q16_feat_size_virtual_tryon,Q16_feat_order_tracking,Q16_feat_community_features,Q16_feat_flash_sales,Q16_feat_brand_collab,Q17_sustainability_importance,Q18_community_challenge_likelihood,Q19_flash_sale_likelihood,Q20_virtual_tryon_importance,Q21_prod_performance_activewear,Q21_prod_casual_athleisure,Q21_prod_sports_footwear,Q21_prod_accessories,Q21_prod_yoga_wellness,Q21_prod_swimwear,Q21_prod_outdoor_gear,Q22_brand_app_usage,Q24_wtp_monthly_inr,Q25_app_download_intent,persona_label
1,33-35,Female,Tier_1,Salaried_Private,60k-80k,0,0,0,0,0,1,1,1,0,0_days,Outdoors,0,1,1,0,0,1,0,1,No,2736,0,1,0,1,1,1,0,1,0,1,1,1,0,0,0,1,Rarely,0,0,0,1,1,1,0,0,0,1,1,1,1,0,1,0,1,0,5,5,3,3,0,1,1,0,1,0,1,Prefers_3rd_party,3384,Maybe,Outdoor_Enthusiast
2,23-27,Male,Metro,Freelancer,60k-80k,1,0,0,0,0,0,1,1,0,5-7_days,Home,0,0,0,0,0,1,0,1,Yes_influences_purchases,5506,1,1,1,1,1,0,0,1,0,1,1,0,0,1,1,1,Every_2-3_months,1,1,0,1,1,0,1,0,0,1,1,0,0,1,1,1,1,0,3,3,5,3,1,1,1,1,0,0,0,Prefers_3rd_party,6454,Maybe,Casual_Gym_Goer
3,28-32,Female,Tier_1,Student,Below_20k,1,1,1,0,0,1,0,1,0,3-4_days,Commercial_gym,1,1,1,0,0,0,1,0,Yes_occasional,666,0,0,0,0,0,0,1,1,1,0,1,1,0,1,1,1,Yearly,1,1,0,0,0,0,1,0,1,1,0,1,1,1,0,1,1,0,4,3,4,5,1,1,0,0,0,0,0,Installed_rarely,960,Yes,Budget_Student
4,28-32,Male,Metro,Student,Below_20k,0,1,0,1,0,0,1,1,0,3-4_days,Outdoors,0,0,0,0,1,0,1,1,No,1559,0,1,1,1,1,1,0,1,0,1,0,1,0,1,1,1,Yearly,1,0,1,1,0,0,0,0,1,1,1,0,0,0,1,1,1,0,4,3,1,2,1,0,1,1,0,1,0,Prefers_3rd_party,1886,Yes,Outdoor_Enthusiast
5,18-22,Male,Metro,Salaried_Public,40k-60k,0,1,1,0,0,0,0,0,0,5-7_days,Sports_club,0,1,1,0,0,0,1,0,Yes_occasional,1881,0,1,1,0,0,0,0,1,1,1,0,1,0,1,0,1,Every_6_months,1,1,1,0,1,1,1,0,0,1,0,1,0,0,1,1,1,0,2,5,2,4,1,1,0,1,0,1,0,Prefers_3rd_party,2776,Yes,Serious_Athlete
6,23-27,Male,Tier_1,Salaried_Private,Below_20k,1,0,0,0,0,1,0,1,0,3-4_days,Commercial_gym,1,0,1,0,0,0,0,1,No,325,0,0,1,0,0,0,1,1,1,0,1,1,1,1,0,1,Every_6_months,0,0,0,1,0,1,1,0,0,1,1,1,0,0,1,1,1,0,2,4,4,5,0,1,0,1,1,0,0,Prefers_3rd_party,302,Yes,Budget_Student
7,28-32,Male,Tier_2,Salaried_Private,40k-60k,1,0,1,1,0,1,0,1,0,1-2_days,Sports_club,1,0,1,1,1,0,0,0,Yes_occasional,1984,0,0,1,1,1,0,1,1,1,1,0,1,0,0,1,1,Every_2-3_months,0,1,0,0,1,0,1,0,1,1,0,1,1,1,1,0,0,1,5,4,4,3,1,0,1,1,0,0,1,Uses_regularly,3272,Yes,Outdoor_Enthusiast
8,23-27,Male,Tier_3,Freelancer,Above_100k,0,1,1,0,0,0,1,0,0,3-4_days,Outdoors,0,0,0,0,0,1,1,0,Yes_occasional,8804,0,0,1,1,1,1,0,1,1,0,1,0,0,0,0,1,Yearly,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,4,3,2,1,1,1,1,1,1,1,1,No_mobile_shopping,9072,No,Outdoor_Enthusiast
9,23-27,Male,Tier_2,Freelancer,20k-40k,1,0,0,1,0,1,0,0,0,5-7_days,Commercial_gym,0,0,1,0,0,0,0,1,Yes_influences_purchases,4257,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,Yearly,0,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,1,0,4,3,3,4,1,1,1,1,0,0,0,Uses_regularly,8124,Yes,Serious_Athlete
10,28-32,Female,Tier_2,Salaried_Private,20k-40k,1,0,1,0,0,0,0,1,0,3-4_days,Commercial_gym,1,0,1,0,0,1,1,1,Yes_occasional,1766,1,0,0,0,1,1,0,1,1,1,1,0,0,1,0,0,Yearly,0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,4,4,4,3,1,1,1,0,0,0,0,Prefers_3rd_party,2425,No,Casual_Gym_Goer
11,18-22,Male,Tier_2,Business_Owner,60k-80k,0,0,0,0,1,0,0,1,0,3-4_days,Commercial_gym,0,0,0,1,0,1,1,1,Yes_influences_purchases,4200,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0,0,Every_2-3_months,1,0,0,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,2,5,4,3,0,1,1,1,0,0,1,Prefers_3rd_party,6477,Yes,Casual_Gym_Goer
